geo_id;type;name
0001;region;Stockholms län
0114;commune;Upplands Väsby
0115;commune;Vallentuna
0117;commune;Österåker
0120;commune;Värmdö
0123;commune;Järfälla
0125;commune;Ekerö
0126;commune;Huddinge
0127;commune;Botkyrka
0128;commune;Salem
0136;commune;Haninge
0138;commune;Tyresö
0139;commune;Upplands-Bro
0140;commune;Nykvarn
0160;commune;Täby
0162;commune;Danderyd
0163;commune;Sollentuna
0180;commune;Stockholm
0181;commune;Södertälje
0182;commune;Nacka
1083;commune;Sundbyberg
0184;commune;Solna
0186;commune;Lidingö
0187;commune;Vaxholm
0188;commune;Norrtälje
0191;commune;Sigtuna
0192;commune;Nynäshamn
0003;region;Uppsala län
0305;commune;Håbo
0319;commune;Älvkarleby
0330;commune;Knivsta
0331;commune;Heby
0360;commune;Tierp
0380;commune;Uppsala
0381;commune;Enköping
0382;commune;Östhammar
0004;region;Södermanlands län
0428;commune;Vingåker
0461;commune;Gnesta
0480;commune;Nyköping
0481;commune;Oxelösund
0482;commune;Flen
0483;commune;Katrineholm
0484;commune;Eskilstuna
0486;commune;Strängnäs
0488;commune;Trosa
0005;region;Östergötlands län
0509;commune;Ödeshög
0512;commune;Ydre
0513;commune;Kinda
0560;commune;Boxholm
0561;commune;Åtvidaberg
0562;commune;Finspång
0563;commune;Valdemarsvik
0580;commune;Linköping
0581;commune;Norrköping
0582;commune;Söderköping
0583;commune;Motala
0584;commune;Vadstena
0586;commune;Mjölby
0006;region;Jönköpings län
0604;commune;Aneby
0617;commune;Gnosjö
0642;commune;Mullsjö
0643;commune;Habo
0662;commune;Gislaved
0665;commune;Vaggeryd
0680;commune;Jönköping
0682;commune;Nässjö
0683;commune;Värnamo
0684;commune;Sävsjö
0685;commune;Vetlanda
0686;commune;Eksjö
0687;commune;Tranås
0007;region;Kronobergs län
0760;commune;Uppvidinge
0761;commune;Lessebo
0763;commune;Tingsryd
0764;commune;Alvesta
0765;commune;Älmhult
0767;commune;Markaryd
0780;commune;Växjö
0781;commune;Ljungby
0008;region;Kalmar län
0821;commune;Högsby
0834;commune;Torsås
0840;commune;Mörbylånga
0860;commune;Hultsfred
0861;commune;Mönsterås
0862;commune;Emmaboda
0880;commune;Kalmar
0881;commune;Nybro
0882;commune;Oskarshamn
0883;commune;Västervik
0884;commune;Vimmerby
0885;commune;Borgholm
0009;region;Gotlands län
0980;commune;Gotland
0010;region;Blekinge län
1060;commune;Olofström
1080;commune;Karlskrona
1081;commune;Ronneby
1082;commune;Karlshamn
1083;commune;Sölvesborg
0012;region;Skåne län
1214;commune;Svalöv
1230;commune;Staffanstorp
1231;commune;Burlöv
1233;commune;Vellinge
1256;commune;Östra Göinge
1257;commune;Örkelljunga
1260;commune;Bjuv
1261;commune;Kävlinge
1262;commune;Lomma
1263;commune;Svedala
1264;commune;Skurup
1265;commune;Sjöbo
1266;commune;Hörby
1267;commune;Höör
1270;commune;Tomelilla
1272;commune;Bromölla
1273;commune;Osby
1275;commune;Perstorp
1276;commune;Klippan
1277;commune;Åstorp
1278;commune;Båstad
1280;commune;Malmö
1281;commune;Lund
1282;commune;Landskrona
1283;commune;Helsingborg
1284;commune;Höganäs
1285;commune;Eslöv
1286;commune;Ystad
1287;commune;Trelleborg
1290;commune;Kristianstad
1291;commune;Simrishamn
1292;commune;Ängelholm
1293;commune;Hässleholm
0013;region;Hallands län
1315;commune;Hylte
1380;commune;Halmstad
1381;commune;Laholm
1382;commune;Falkenberg
1383;commune;Varberg
1384;commune;Kungsbacka
0014;region;Västra Götalands län
1401;commune;Härryda
1402;commune;Partille
1407;commune;Öckerö
1415;commune;Stenungsund
1419;commune;Tjörn
1421;commune;Orust
1427;commune;Sotenäs
1430;commune;Munkedal
1435;commune;Tanum
1438;commune;Dals-Ed
1439;commune;Färgelanda
1440;commune;Ale
1441;commune;Lerum
1442;commune;Vårgårda
1443;commune;Bollebygd
1444;commune;Grästorp
1445;commune;Essunga
1446;commune;Karlsborg
1447;commune;Gullspång
1452;commune;Tranemo
1460;commune;Bengtsfors
1461;commune;Mellerud
1462;commune;Lilla Edet
1463;commune;Mark
1465;commune;Svenljunga
1466;commune;Herrljunga
1470;commune;Vara
1471;commune;Götene
1472;commune;Tibro
1473;commune;Töreboda
1480;commune;Göteborg
1481;commune;Mölndal
1482;commune;Kungälv
1484;commune;Lysekil
1485;commune;Uddevalla
1486;commune;Strömstad
1487;commune;Vänersborg
1488;commune;Trollhättan
1489;commune;Alingsås
1490;commune;Borås
1491;commune;Ulricehamn
1492;commune;Åmål
1493;commune;Mariestad
1494;commune;Lidköping
1495;commune;Skara
1496;commune;Skövde
1497;commune;Hjo
1498;commune;Tidaholm
1499;commune;Falköping
0017;region;Värmlands län
1715;commune;Kil
1730;commune;Eda
1737;commune;Torsby
1760;commune;Storfors
1761;commune;Hammarö
1762;commune;Munkfors
1763;commune;Forshaga
1764;commune;Grums
1765;commune;Årjäng
1766;commune;Sunne
1780;commune;Karlstad
1781;commune;Kristinehamn
1782;commune;Filipstad
1783;commune;Hagfors
1784;commune;Arvika
1785;commune;Säffle
0018;region;Örebro län
1814;commune;Lekeberg
1860;commune;Laxå
1861;commune;Hallsberg
1862;commune;Degerfors
1863;commune;Hällefors
1864;commune;Ljusnarsberg
1880;commune;Örebro
1881;commune;Kumla
1882;commune;Askersund
1883;commune;Karlskoga
1884;commune;Nora
1885;commune;Lindesberg
0019;region;Västmanlands län
1904;commune;Skinnskatteberg
1907;commune;Surahammar
1960;commune;Kungsör
1961;commune;Hallstahammar
1962;commune;Norberg
1980;commune;Västerås
1981;commune;Sala
1982;commune;Fagersta
1983;commune;Köping
1984;commune;Arboga
0020;region;Dalarnas län
2021;commune;Vansbro
2023;commune;Malung-Sälen
2026;commune;Gagnef
2029;commune;Leksand
2031;commune;Rättvik
2034;commune;Orsa
2039;commune;Älvdalen
2061;commune;Smedjebacken
2062;commune;Mora
2080;commune;Falun
2081;commune;Borlänge
2082;commune;Säter
2083;commune;Hedemora
2084;commune;Avesta
2085;commune;Ludvika
0021;region;Gävleborgs län
2101;commune;Ockelbo
2104;commune;Hofors
2121;commune;Ovanåker
2132;commune;Nordanstig
2161;commune;Ljusdal
2180;commune;Gävle
2181;commune;Sandviken
2182;commune;Söderhamn
2183;commune;Bollnäs
2184;commune;Hudiksvall
0022;region;Västernorrlands län
2260;commune;Ånge
2262;commune;Timrå
2280;commune;Härnösand
2281;commune;Sundsvall
2282;commune;Kramfors
2283;commune;Sollefteå
2284;commune;Örnsköldsvik
0023;region;Jämtlands län
2303;commune;Ragunda
2305;commune;Bräcke
2309;commune;Krokom
2313;commune;Strömsund
2321;commune;Åre
2326;commune;Berg
2361;commune;Härjedalen
2380;commune;Östersund
0024;region;Västerbottens län
2401;commune;Nordmaling
2403;commune;Bjurholm
2404;commune;Vindeln
2409;commune;Robertsfors
2417;commune;Norsjö
2418;commune;Malå
2421;commune;Storuman
2422;commune;Sorsele
2425;commune;Dorotea
2460;commune;Vännäs
2462;commune;Vilhelmina
2463;commune;Åsele
2480;commune;Umeå
2481;commune;Lycksele
2482;commune;Skellefteå
0025;region;Norrbottens län
2505;commune;Arvidsjaur
2506;commune;Arjeplog
2510;commune;Jokkmokk
2513;commune;Överkalix
2514;commune;Kalix
2518;commune;Övertorneå
2521;commune;Pajala
2523;commune;Gällivare
2560;commune;Älvsbyn
2580;commune;Luleå
2581;commune;Piteå
2582;commune;Boden
2583;commune;Haparanda
2584;commune;Kiruna